mean,std,skewness,kurtosis,power_spectral_density,dominant_frequency,label
-0.7457015035513128,0,0,0,0.0,0.0,0
-0.6042695290608011,0,0,0,0.0,0.0,0
-0.6775002976006664,0,0,0,0.0,0.0,0
-0.6551860270797747,0,0,0,0.0,0.0,0
-0.7026795233944071,0,0,0,0.0,0.0,0
-0.59630282805139,0,0,0,0.0,0.0,0
-0.8648055163311026,0,0,0,0.0,0.0,0
-0.7716945132957068,0,0,0,0.0,0.0,0
-0.6721506601234059,0,0,0,0.0,0.0,0
-0.6443289403425686,0,0,0,0.0,0.0,0
-0.5583848276013694,0,0,0,0.0,0.0,0
-0.5176167006492178,0,0,0,0.0,0.0,0
-0.6830422554047262,0,0,0,0.0,0.0,0
-0.7276929163132495,0,0,0,0.0,0.0,0
-1.5618159565893206,0,0,0,0.0,0.0,0
-0.7298821239839137,0,0,0,0.0,0.0,0
-0.5663743839505485,0,0,0,0.0,0.0,0
-0.40995068253545763,0,0,0,0.0,0.0,0
-0.7421106656886893,0,0,0,0.0,0.0,0
-0.9282587079011981,0,0,0,0.0,0.0,0
-0.8672736867220089,0,0,0,0.0,0.0,0
-0.8612327460762085,0,0,0,0.0,0.0,0
-0.9189203456471496,0,0,0,0.0,0.0,0
-0.8681500757368715,0,0,0,0.0,0.0,0
-0.8713489643068495,0,0,0,0.0,0.0,0
-0.7629034885215121,0,0,0,0.0,0.0,0
-0.9329061078771909,0,0,0,0.0,0.0,0
-0.8075479904306356,0,0,0,0.0,0.0,0
-0.4733295776511788,0,0,0,0.0,0.0,0
-0.9060335841924062,0,0,0,0.0,0.0,0
-1.255414340766758,0,0,0,0.0,0.0,0
-1.2054650715032473,0,0,0,0.0,0.0,0
-0.7949008941473973,0,0,0,0.0,0.0,0
-0.756018352701958,0,0,0,0.0,0.0,0
-1.6632583338135025,0,0,0,0.0,0.0,0
-0.1957489491184187,0,0,0,0.0,0.0,0
-0.23631581566091697,0,0,0,0.0,0.0,0
0.07092765400629092,0,0,0,0.0,0.0,0
0.11717052230159666,0,0,0,0.0,0.0,0
-0.02906895617747854,0,0,0,0.0,0.0,0
0.12964495834223466,0,0,0,0.0,0.0,0
-0.21045589722196392,0,0,0,0.0,0.0,0
-0.17582311053206123,0,0,0,0.0,0.0,0
-0.028827566936965483,0,0,0,0.0,0.0,0
-0.04205206270858318,0,0,0,0.0,0.0,0
-0.3741907207027691,0,0,0,0.0,0.0,0
0.13737097722689615,0,0,0,0.0,0.0,0
-0.006048094989126201,0,0,0,0.0,0.0,0
-0.45452327194614267,0,0,0,0.0,0.0,0
0.028601304552897368,0,0,0,0.0,0.0,0
-0.15707343602808777,0,0,0,0.0,0.0,0
-0.0764156220454145,0,0,0,0.0,0.0,0
-0.08054578448404254,0,0,0,0.0,0.0,0
-0.07992425942034515,0,0,0,0.0,0.0,0
-1.3788741707456582,0,0,0,0.0,0.0,0
-0.7558387002904554,0,0,0,0.0,0.0,0
-0.8601742244680338,0,0,0,0.0,0.0,0
-0.7730657187033754,0,0,0,0.0,0.0,0
-0.7297583184244448,0,0,0,0.0,0.0,0
-0.9741754642703211,0,0,0,0.0,0.0,0
-1.1487663114729336,0,0,0,0.0,0.0,0
-1.0472415803790693,0,0,0,0.0,0.0,0
-0.8790387673129403,0,0,0,0.0,0.0,0
-0.7895440910100351,0,0,0,0.0,0.0,0
-0.7909482906271298,0,0,0,0.0,0.0,0
-0.8640925711424655,0,0,0,0.0,0.0,0
-0.7186518234744415,0,0,0,0.0,0.0,0
-0.7430630230618382,0,0,0,0.0,0.0,0
-0.7314070382745469,0,0,0,0.0,0.0,0
-0.7576649502854893,0,0,0,0.0,0.0,0
-0.6480394296781433,0,0,0,0.0,0.0,0
-0.5501850301779744,0,0,0,0.0,0.0,0
-0.5559466337624622,0,0,0,0.0,0.0,0
-0.658509575986287,0,0,0,0.0,0.0,0
-1.6874449717371915,0,0,0,0.0,0.0,0
0.15481690986783753,0,0,0,0.0,0.0,0
0.03766010737367475,0,0,0,0.0,0.0,0
0.019822034842778415,0,0,0,0.0,0.0,0
0.11634563373497062,0,0,0,0.0,0.0,0
0.17531097910156884,0,0,0,0.0,0.0,0
0.11274315388919913,0,0,0,0.0,0.0,0
0.10435892433425688,0,0,0,0.0,0.0,0
-0.17073150842062096,0,0,0,0.0,0.0,0
-0.3218073860613885,0,0,0,0.0,0.0,0
-0.058422899703621606,0,0,0,0.0,0.0,0
0.14250613557530983,0,0,0,0.0,0.0,0
0.2697006810671948,0,0,0,0.0,0.0,0
0.0021785403911516454,0,0,0,0.0,0.0,0
1.5574316162392243e-05,0,0,0,0.0,0.0,0
0.13581640280804147,0,0,0,0.0,0.0,0
0.2032478407515129,0,0,0,0.0,0.0,0
0.29459801020106235,0,0,0,0.0,0.0,0
0.31037039866739863,0,0,0,0.0,0.0,0
0.3179361527785508,0,0,0,0.0,0.0,0
-1.5641737347058922,0,0,0,0.0,0.0,0
0.05781945990226237,0,0,0,0.0,0.0,0
-0.28059635039501235,0,0,0,0.0,0.0,0
-0.4969336885433733,0,0,0,0.0,0.0,0
-0.49948321035016696,0,0,0,0.0,0.0,0
-0.5889380013557979,0,0,0,0.0,0.0,0
-0.6333637506355223,0,0,0,0.0,0.0,0
-0.7246877796938812,0,0,0,0.0,0.0,0
-0.6979111223251758,0,0,0,0.0,0.0,0
-0.6262967559609927,0,0,0,0.0,0.0,0
-0.924505664962792,0,0,0,0.0,0.0,0
-0.4297703661009485,0,0,0,0.0,0.0,0
-0.5042021846106499,0,0,0,0.0,0.0,0
-0.3806682852553385,0,0,0,0.0,0.0,0
-0.239691595981287,0,0,0,0.0,0.0,0
-0.6964269256203204,0,0,0,0.0,0.0,0
-0.34269287153870964,0,0,0,0.0,0.0,0
-0.9050811056303736,0,0,0,0.0,0.0,0
-0.5094716524778728,0,0,0,0.0,0.0,0
-0.8140460242933957,0,0,0,0.0,0.0,0
-1.656622847448914,0,0,0,0.0,0.0,0
1.7673185613033988,0,0,0,0.0,0.0,1
1.5728607073249246,0,0,0,0.0,0.0,1
1.5702648856177668,0,0,0,0.0,0.0,1
1.7672719889587605,0,0,0,0.0,0.0,1
